group,trend,se,p
All countries,0.03983894312245062,0.008700629144768188,4.675220166561189e-06
Low-income half,0.048190360225873,0.014059585368343763,0.0006089857851472313
High-income half,0.03650525762057666,0.011883210150060266,0.002126275648206555
