outcome,b0,se0,p0,b1,se1,p1,total,n
Rice yield (kg/ha),-4.107746516859946,1.7513945971209548,0.019005930344957456,1.324337154906642,1.6137507766305748,0.411841217021359,-2.7834093619533036,1755
Wheat yield (kg/ha),-6.192484025063209,2.338311795305708,0.008090456863761641,4.744901522090215,2.029065221056683,0.019363049365281437,-1.4475825029729936,2093
Cereal yield (WDI),-4.66818963435114,1.5579836338246396,0.0027327555328588993,5.469441442568258,1.7372027354675152,0.001641564227457426,0.8012518082171178,2528
Crop production index,-6.225885501544784,1.1172585687954206,2.511583718778354e-08,5.387199915898853,1.1180853079373612,1.4483232784190392e-06,-0.8386855856459317,2380
Food production index,-3.9708245977939964,0.7964928275003418,6.183806866566499e-07,3.796820024651925,0.9045073739844778,2.696797412182761e-05,-0.17400457314207163,2380
