,count,mean,std,min,50%,max
CV,32226.0,0.8877710403553136,0.8675018733063303,0.0,0.6197831714085644,13.194986476266005
S,32226.0,0.0018867133084326194,1.241256547944365,-13.194986476266005,-0.0010835398276051137,9.680937865367405
RV,32226.0,0.8232129628250409,0.9024062305093561,0.0,0.5564254994854549,14.175645766376368
dlfood_w,31736.0,0.45825823855862147,1.4655604021186945,-5.001208388049343,0.34663885886940804,10.153256184584233
dlhead_w,32150.0,0.3765939693384346,0.8541039085238833,-2.5288566945386264,0.28011751734817736,8.068688864799286
relf_w,31736.0,0.08120261758644652,0.9602247545731181,-7.962552600432135,0.06366056507367546,11.987692633427901
credit,28869.0,55.85243998712588,46.306806474347404,0.636901086326267,41.048928970868,287.359828906794
lgdp,31965.0,8.647111795928327,1.5127373718012282,4.696780927783857,8.631492015224206,11.83342569446625
dep_wheat,31008.0,0.5969525738964014,0.39458834491844774,0.0,0.6978460741571763,1.0
dep_rice,29548.0,0.36064200795918117,0.45587035880631827,0.0,0.013424595051799297,1.0
