h,slack,slack_se,inter,inter_se,inter_p,tight,tight_se,tight_p,n
3,0.12807630390090022,0.033458806999662326,0.04262671692468882,0.07411323103908118,0.5651853647562906,0.17070302082558902,0.06598294123437311,0.009679365629266856,18820
6,0.17483027781575783,0.049557666518448104,0.012047408557906609,0.10749152686638258,0.9107617585748136,0.18687768637366445,0.09614208489937194,0.05192371248762928,18650
9,0.16328965482872534,0.05820643673831351,-0.011598709981926698,0.13206829889003055,0.9300169010475912,0.15169094484679865,0.11665549644310902,0.19348699985954765,18473
12,0.1378638473104053,0.07274061676985173,-0.004397622313758355,0.1545442520169462,0.9772989196188977,0.13346622499664695,0.12335887575901487,0.27928162843606197,18291
