"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Garciga C.; Knotek II E.S.","Garciga, Christian (57210158389); Knotek II, Edward S. (24822504700)","57210158389; 24822504700","Forecasting GDP growth with NIPA aggregates: In search of core GDP","2019","International Journal of Forecasting","35","4","","1814","1828","4","10.1016/j.ijforecast.2019.03.024","https://www.scopus.com/pages/publications/85069742785?origin=resultslist","In addition to GDP, which is measured using expenditure data, the U.S. national income and product accounts (NIPAs) provide a variety of measures of economic activity, including gross domestic income and other aggregates that exclude one or more of the components that make up GDP. Similarly to the way in which economists have attempted to use core inflation—which excludes volatile energy and food prices—to predict headline inflation, the omission of GDP components may be useful in extracting a signal as to where GDP is going. We investigate the extent to which these NIPA aggregates constitute “core GDP.” In an out-of-sample forecasting exercise using a novel real-time dataset of NIPA aggregates, we find that consumption growth and the growth of GDP excluding inventories and trade have historically outperformed a canonical univariate benchmark for forecasting GDP growth, suggesting that these are promising measures of core GDP growth. © 2019 International Institute of Forecasters","Consumption; Forecasts; GDI; GDP; Real-time data; Survey of professional forecasters","","Article","Final","","Scopus","2-s2.0-85069742785"
"Wu L.; Liu Y.; Zhao F.; Gong L.","Wu, Liyuan (57204880318); Liu, Yanzhao (57950049200); Zhao, Fuyang (57195508836); Gong, Liutang (7202769743)","57204880318; 57950049200; 57195508836; 7202769743","The Departure of PPI and CPI, Financial Friction Heterogeneity and Monetary Policy Choice; [PPI与CPI背离、金融摩擦异质性与货币政策选择]","2021","Modern Economic Science","43","3","","1","15","0","","https://www.scopus.com/pages/publications/85190496261?origin=resultslist","The phenomenon of long-term deviation between PPI and CPI from the second half of 2011 to the beginning of 2016 has been widely concerned by all sectors of the society. This paper analyzes this phenomenon from the perspective of commodity prices, vertical production structure and financial friction heterogeneity between upstream and downstream firms and discusses the choice of monetary policy rules. The study found that, first, negative commodity price shocks lead to the decline of PPI, then the resulting expansionary monetary policy and China's structural financial friction pull up CPI from the demand side and cost side respectively, leading to the reverse deviation between PPI and CPI, which provides a new theoretical explanation for the deviation between PPI and CPI. Second, we compare the monetary policy rules targeting PPI inflation, CPI inflation and weighted inflation of PPI and CPI and find that the welfare loss caused by targeting weighted inflation is the least. This conclusion shows that while stabilizing CPI, the central bank should also pay attention to the stability of PPI. Third, we compare the quantity instrument and price instrument of monetary policy. The results show that from the welfare point of view, price instrument are significantly better than quantity instrument. The research of this paper also emphasizes the important meaning of the heterogeneity of upstream and downstream financial frictions to the understanding of China's economic features and the design of policies. © 2021 Editorial Board of Modern Economic Science. All rights reserved.","financial friction; monetary policy; price index; structural frictions; vertical production structure; welfare analysis","","Article","Final","","Scopus","2-s2.0-85190496261"
"Türken F.; Yildirim M.O.","Türken, Fatma (59533961300); Yildirim, Mustafa Ozan (57213886703)","59533961300; 57213886703","Second-round effects of food prices on core inflation in Turkey","2024","Economics and Business Review","10","4","","32","55","3","10.18559/ebr.2024.4.1485","https://www.scopus.com/pages/publications/85216392104?origin=resultslist","Turkey has recently experienced persistently high food inflation, among the highest in emerging markets, with food accounting for a significant proportion of consumer expenditures. This study investigates the second-round effects of food price shocks on core inflation using monthly data from January 2013 to June 2024 through a Bayesian Structural Vector Autoregressive (SBVAR) model. Incorporating domestic and international macroeconomic variables, the model identifies second-round effects by imposing theory-based constraints and leveraging Bayesian methods. Results reveal that core inflation reacts strongly to food price shocks, with rising food prices worsening inflation expectations and amplifying second-round effects on overall inflation. Historical decomposition reveals a more persistent impact of food price shocks on core inflation and expectations post-COVID-19. These findings underscore the importance of closely monitoring food price dynamics to safeguard price stability in Turkey, highlighting their critical role in shaping inflationary pressures.  © 2024 Fatma Türken et al., published by Sciendo.","Bayesian Structural VAR; core inflation; food prices; second-round effects","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85216392104"
"Kamrul Hassan A.F.M.; Salim R.A.","Kamrul Hassan, A.F.M. (56658751700); Salim, Ruhul A. (7006494520)","56658751700; 7006494520","Is there any Link Between Commodity Price and Monetary Policy? Evidence from Australia","2011","Economic Analysis and Policy","41","3","","205","215","6","10.1016/S0313-5926(11)50033-5","https://www.scopus.com/pages/publications/84909584869?origin=resultslist","The aim of this paper is to examine whether the commodity prices predict inflation, unemployment and short term interest rate in Australia. Advanced time series econometric modeling such as vector autoregressive model, cointegration and granger causality are used for this purpose. The empirical results show that three commodity prices (COMRL, COMNRL and COMBSMTL) precede inflation. However, no evidence of reverse causation is found. These findings have important implication for monetary authority. Inflation targeting experience has so far been hit by positive supply shocks. In case of negative supply shock, commodity price may be useful in singling out the likely direction of inflation. © 2011 Economic Society of Australia (Queensland) Inc.","","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84909584869"
"Núñez H.M.; Otero J.; Trujillo-Barrera A.","Núñez, Héctor M. (55418382200); Otero, Jesús (7102841786); Trujillo-Barrera, Andrés (55369547700)","55418382200; 7102841786; 55369547700","Wholesale price rigidities and exchange rate pass-through: Evidence from daily data of agricultural products","2023","International Economics","176","","100454","","","8","10.1016/j.inteco.2023.08.005","https://www.scopus.com/pages/publications/85170425979?origin=resultslist","We provide insights into the extent of rigidities and the exchange rate pass-through (ERPT) of wholesale food prices at the regional level in a small open emerging economy. Notably, we utilize a novel and extensive micro-database of wholesale prices in markets within the principal and intermediate Colombian cities. The granularity of the data provides the advantage of assessing whether temporal and spatial aggregation procedures conceal transmission channels from the exchange rate to wholesale agricultural prices. Our initial exploratory analysis of wholesale pricing characteristics suggests that the Colombian food sector demonstrates moderate price rigidity, with fewer price asymmetries in response to positive and negative exchange rate fluctuations. Furthermore, cross-section results indicate a lifelong ERPT of 27% in our preferred model specification. Moreover, outcomes from a non-linear autoregressive distributed lag (NARDL) analysis show cointegration between the exchange rate and wholesale prices in 81% of the cases, complete exchange rate pass-through (with notable heterogeneity across products), and less prevalence of price asymmetries. © 2023 CEPII (Centre d'Etudes Prospectives et d'Informations Internationales), a center for research and expertise on the world economy","Asymmetry; Exchange rate pass-through; Heterogeneity; Nominal rigidity; Wholesale prices","","Article","Final","","Scopus","2-s2.0-85170425979"
"Umar Z.; Sayed A.; Gubareva M.; Vo X.V.","Umar, Zaghum (56274328600); Sayed, Ayesha (57204178457); Gubareva, Mariya (56850438400); Vo, Xuan Vinh (22939657900)","56274328600; 57204178457; 56850438400; 22939657900","Influence of unconventional monetary policy on agricultural commodities futures: network connectedness and dynamic spillovers of returns and volatility","2023","Applied Economics","55","22","","2521","2535","26","10.1080/00036846.2022.2103084","https://www.scopus.com/pages/publications/85135472543?origin=resultslist","Our research examines connectedness landscape and the dynamic spillovers of volatility and returns in the network comprising eleven agricultural commodities and US shadow short rate in a quality of inflation indicator, observed in monetary policymaking. We use daily data from November 2000 to May 2021. We document monetary policy as a net transmitter of spillover for both return and volatility of agricultural commodities. We find significant volatility connectedness among agricultural commodities. The connectedness is shown to be of a time-varying nature, exhibiting considerable increases during periods of market turmoil. The results of this paper provide relevant insights into the interrelations of US monetary policy and agricultural commodity prices, being, hence, potentially useful for commodity investors, brokers and dealers, as well as for market regulators designing policy solutions for financial stability enhancements. © 2022 Informa UK Limited, trading as Taylor & Francis Group.","agricultural commodities; connectedness; Monetary policy; volatility spillover","United States; agriculture; investment; market conditions; monetary policy; spillover effect","Article","Final","","Scopus","2-s2.0-85135472543"
"Iddrisu A.-A.; Alagidede I.P.","Iddrisu, Abdul-Aziz (57213198628); Alagidede, Imhotep Paul (57207928952)","57213198628; 57207928952","Asymmetry in food price responses to monetary policy: a quantile regression approach","2021","SN Business and Economics","1","3","52","","","11","10.1007/s43546-021-00056-7","https://www.scopus.com/pages/publications/105000344737?origin=resultslist","The dominance of food in the consumption baskets of many developing countries remains a policy challenge, as it drives overall inflation in these countries. While optimal monetary policy, theoretically, is acknowledged to provide stability in the prices of food, very little is known empirically about this effect, particularly on Africa where food is a major component of the consumption baskets. With the aid of quantile regression, we provide empirical evidence on monetary policy-food inflation nexus in the context of Ghana, an inflation targeting country with food alone constituting 43.9% of the consumption basket. We find that contractionary monetary policy is destabilizing for food prices, particularly at the 20th, 25th, 30th, 35th, 40th, and the 45th quantiles of food price distribution. In addition, whiles transportation cost and output are important drivers of food prices across the specified quantiles, exchange rate movements and changes in the world food prices are not. These findings present significant policy implications for welfare and monetary policy conduct in Ghana and many developing countries with similar food credentials in their consumption baskets. © The Author(s), under exclusive licence to Springer Nature Switzerland AG part of Springer Nature 2021.","","","Article","Final","","Scopus","2-s2.0-105000344737"
"Belke A.H.; Bordon I.G.; Hendricks T.W.","Belke, Ansgar H. (6603636270); Bordon, Ingo G. (35298477800); Hendricks, Torben W. (23468928800)","6603636270; 35298477800; 23468928800","Monetary policy, global liquidity and commodity price dynamics","2014","North American Journal of Economics and Finance","28","","","1","16","35","10.1016/j.najef.2013.12.003","https://www.scopus.com/pages/publications/84901499852?origin=resultslist","This paper examines the interactions between money, interest rates, goods and commodity prices at a global level. Aggregated data for major OECD countries are therefore analysed in a cointegrated VAR framework. Our empirical results for the period ranging from the 1970s to 2008 support the view that, when controlling for interest rate changes and thus different monetary policy stances, money (defined as a global liquidity aggregate) is still a key factor to determine the long-run homogeneity of commodity and goods prices movements. © 2013 Elsevier Inc.","Commodity prices; CVAR analysis; Global liquidity; Inflation; International spillovers","","Article","Final","","Scopus","2-s2.0-84901499852"
"Adeosun O.A.; Olayeni O.R.; Ayodele O.S.","Adeosun, Opeoluwa Adeniyi (57218319180); Olayeni, Olaolu Richard (55918323700); Ayodele, Olumide Steven (60514452200)","57218319180; 55918323700; 60514452200","Oil-food price dynamics in an oil-dependent emerging economy","2021","International Journal of Energy Sector Management","15","1","","36","57","13","10.1108/IJESM-03-2020-0015","https://www.scopus.com/pages/publications/85088803343?origin=resultslist","Purpose: This paper aims to examine the transmission from oil price to local food price returns in Nigeria from January 1995 to May 2019. Design/methodology/approach: To circumvent erratic behaviours and account for possibilities of noises at the edge of the wavelet signals, the paper combines wavelet and Markov-switching techniques to determine the significance and magnitude of oil–food price dynamics across different time scales. Findings: It is shown that oil to food price pass-through changed across frequencies. Notably, results reveal a swift pass-through which signals the dominance of the direct effect of oil price shocks on food prices with evidence of weak spillover in the short term. The medium- and long-term horizons witness the dominance of the indirect effect of oil price shocks with much sluggish transmission to food prices; the highest significant pass-through of about 4% are also observed when the oil price is denominated in the naira–USD exchange rate. Originality/value: The study improves understanding of the relationship between oil price shocks and domestic food price returns. It shapes policy prescription on appropriate inflation targeting strategies of monetary authorities. © 2020, Emerald Publishing Limited.","Agricultural; Crude oil; Food Price; Markov Switching Model; Nigeria; Oil Price; Wavelet transform","Costs; Economics; Oils and fats; Design/methodology/approach; Different time scale; Emerging economies; Exchange rates; Indirect effects; Local foods; Markov switching; Oil price shocks; Crude oil price","Article","Final","","Scopus","2-s2.0-85088803343"
"Midrigan V.","Midrigan, Virgiliu (22980853800)","22980853800","Is firm pricing state or time dependent? Evidence from U.S. manufacturing","2010","Review of Economics and Statistics","92","3","","643","656","12","10.1162/REST_a_00016","https://www.scopus.com/pages/publications/77955124041?origin=resultslist","If pricing is state dependent, firms are more likely to adjust whenever aggregate and idiosyncratic shocks reinforce each other and trigger desired price changes in the same direction. Using measures of technology shocks derived from production function estimates for fourdigit U.S. manufacturing industries, I find that sectoral inflation rates are more sensitive to negative, as opposed to positive, technology disturbances in periods of higher economy-wide inflation, commodity price increases, and expansionary monetary policy shocks. I argue, using a state-dependent sticky price model that matches salient features of the U.S. microprice data, that these results suggest that pricing is statedependent in U.S. manufacturing. © 2010 The President and Fellows of Harvard College and the Massachusetts Institute of Technology.","","","Article","Final","","Scopus","2-s2.0-77955124041"
