"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Everaert G.; Pozzi L.","Everaert, Gerdie (6602589028); Pozzi, Lorenzo (56261630700)","6602589028; 56261630700","Financial development in the aftermath of banking crises","2025","Journal of International Money and Finance","157","","103395","","","0","10.1016/j.jimonfin.2025.103395","https://www.scopus.com/pages/publications/105012097816?origin=resultslist","This paper examines the dynamic impact of systemic banking crises on financial development. Causal effects are identified using a propensity-score-based method for time series and panel data. Specifically, to address the non-random nature of banking crisis onsets, we apply inverse propensity score weighting to create a quasi-random distribution of crisis and non-crisis episodes. The appropriate weights are derived from a banking crisis prediction model that accounts for financial development in the run-up to crises. Using data on banking crises and a comprehensive set of financial development indicators for 174 countries from 1980 to 2019, we present novel evidence demonstrating that banking crisis shocks have a persistent negative effect on financial development. This finding holds across multiple dimensions of financial development. © 2025 The Author(s)","Banking crises; Financial development; Inverse probability weighting; Local projections; Panel data","","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105012097816"
"Mamaro L.P.; Sibindi A.B.","Mamaro, Lenny Phulong (57958874400); Sibindi, Athenia Bongani (56410896200)","57958874400; 56410896200","Empowering Africa: The Transformative Impact of Crowdfunding on Sustainable Development","2025","Advances in African Economic, Social and Political Development","Part F326","","","39","61","1","10.1007/978-3-031-86516-9_4","https://www.scopus.com/pages/publications/105003953904?origin=resultslist","This chapter explores the transformative role of crowdfunding as a catalyst for achieving Sustainable Development Goals (SDGs) in Africa, particularly in the aftermath of the COVID-19 pandemic. The pandemic has exacerbated financial challenges for entrepreneurs and SMEs, driving a shift away from traditional funding sources and highlighting the need for innovative financial solutions. Crowdfunding emerges as a viable alternative, enhancing access to financial resources and promoting resilience among small and medium-sized enterprises. Crowdfunding aligns with the UN’s emphasis on financial inclusion to drive development by fostering social inclusion, environmental sustainability, and economic prosperity. The chapter discusses the evolution of crowdfunding in Africa, emphasising its potential to address pressing issues such as poverty alleviation, quality education, and gender equality. It also acknowledges the significant contributions of SMEs to job creation while addressing the gaps in underdeveloped financial systems that the pandemic has further strained. As crowdfunding continues to grow, with projections indicating a substantial increase in its economic impact in sub-Saharan Africa, this chapter illustrates its potential to bridge funding gaps and promote sustainable development across the continent. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Challenges of crowdfunding; Drivers of crowdfunding success; Role of crowdfunding in sustainability; Sustainable finance; Transformative role of crowdfunding","","Book chapter","Final","","Scopus","2-s2.0-105003953904"
"Takyi P.O.; Leon-Gonzalez R.","Takyi, Paul Owusu (57217191928); Leon-Gonzalez, Roberto (6506528860)","57217191928; 6506528860","Effect of a health shock on working hours and health care usage: the role of financial inclusion in Ghana","2022","International Journal of Economic Policy Studies","16","1","","113","134","3","10.1007/s42495-021-00071-4","https://www.scopus.com/pages/publications/85133911651?origin=resultslist","This study explores the role of financial inclusion in the mitigation of the effects of a health shock at the household level. To that end, we examine empirically the effect of financial inclusion on household working hours and health care utilization, using round six of the Ghana Living Standard Survey data. We find that a health shock does decrease household working hours and increase the likelihood of health care utilization. This suggests that households in Ghana are not able to fully insure themselves against a health shock. However, we find that, faced with a health shock, households who are financially excluded see their working hours reduce more than those who enjoy full financial inclusion. In addition, financial inclusion increases the likelihood of health care utilization when households experience a health shock. We find evidence that loan acquisition (borrowing) is one of the main mechanisms by which households can insure themselves against a health shock. Generally, our findings support the financial inclusion agenda of policymakers in Ghana and many other countries. Thus, efforts to ensure full financial inclusion will increase the probability of households using the financial sector as a means of insulating themselves against the effects of health shocks. © 2021, Japan Economic Policy Association (JEPA).","Financial inclusion; Health care utilization; Health shock; Working hours","","Article","Final","","Scopus","2-s2.0-85133911651"
"Aliakbari T.; Glebocki H.","Aliakbari, Tayyebeh (60053216600); Glebocki, Helena (59342307000)","60053216600; 59342307000","Financial development, disaggregated oil shocks, and renewable energy consumption","2025","International Economics","183","","100623","","","2","10.1016/j.inteco.2025.100623","https://www.scopus.com/pages/publications/105013568643?origin=resultslist","This study examines the influence of disaggregated oil shocks and varying levels of financial development on renewable energy consumption (REC). Utilizing both a panel model and a threshold model, we capture the linear and nonlinear dynamics of this relationship. The results of the panel model show that, in oil rich economies, REC remains largely unaffected by oil shocks, with past REC levels being the primary driver. In non-oil rich economies, the level of financial development has a positive and significant impact on renewable energy consumption. The results of the panel model for combined economies highlight the importance of financial development in reducing the effect of oil shocks on renewable energy consumption. The threshold model further reveals that economies react differently to oil shocks based on the level of financial development. This study offers valuable insights for policymakers seeking to strengthen financial development as a way to complement the adoption of renewable energy. © 2025 CEPII (Centre d'Etudes Prospectives et d'Informations Internationales), a center for research and expertise on the world economy","Disaggregated oil shocks; Financial development; Renewable energy consumption","","Article","Final","","Scopus","2-s2.0-105013568643"
"Ortiz M.; Herrera G.","Ortiz, Marco (57761209100); Herrera, Gerardo (57761157700)","57761209100; 57761157700","Optimal Monetary Policy under Balance-Sheet Effects on the Non-tradable Sector in a Small Open Economy","2022","International Economic Journal","36","3","","275","306","0","10.1080/10168737.2022.2067888","https://www.scopus.com/pages/publications/85132663020?origin=resultslist","The choice of an exchange rate regime is crucial in small open economies (SOEs) with a dollarized financial sector. While the traditional Mundell–Fleming model supports a floating exchange rate, evidence shows that central banks frequently intervene in exchange markets. One of the reasons for these interventions is the consequences of large depreciations that could trigger negative balance-sheet effects. This paper extends the literature about the optimal monetary policy in SOEs, by considering a heterogeneous hedge across tradable and non-tradable sectors. Our findings support a ‘leaning against the wind’ policy as an optimal response to negative external shocks. This result is present even if only one sector of the economy faces credit constraints. We show that the vulnerability of the economy to large negative external shocks depends not only on the overall leverage, but also on the distribution of foreign currency debt across economic sectors. © 2022 Korea International Economic Association.","Credit constraints; exchange rate intervention; monetary policy; tradable and non-tradable firms","","Article","Final","","Scopus","2-s2.0-85132663020"
"Qi T.; Ying J.","Qi, Tong (57212027342); Ying, Jiezhou (58118338600)","57212027342; 58118338600","U.S. monetary policy and portfolio spillover effects: The role of global production network","2025","Journal of International Money and Finance","151","","103255","","","1","10.1016/j.jimonfin.2024.103255","https://www.scopus.com/pages/publications/85212640682?origin=resultslist","This paper evaluates the impact of global production linkages on the transmission of U.S. monetary policy shocks to capital flows across countries (e.g., portfolio flows). The spatial autoregression (SAR) model is applied to separate the total influence of U.S. monetary policy into two distinct components: a direct effect and a network effect. The empirical results show that around 70 % of the total impact of U.S. monetary policy shocks on capital flows can be attributed to the network effect of global production network. Moreover, we prove that stock market returns play a significant role in the underlying mechanism. The coordination of the monetary policies between target countries and the United States could reduce the network effects. The additional analysis reveals that countries with larger size, more reliance on dollar invoicing, greater financial openness and higher levels of financial development are more susceptible to the network impact of U.S. monetary shocks. © 2024 Elsevier Ltd","Capital flows; Monetary policy; Production network; Spillover","","Article","Final","","Scopus","2-s2.0-85212640682"
"Faisal F.; Sulaiman Y.; Tursoy T.","Faisal, Faisal (57991508000); Sulaiman, Yasir (57211432617); Tursoy, Turgut (34973577800)","57991508000; 57211432617; 34973577800","Does an asymmetric nexus exist between financial deepening and natural resources for emerging economy? Evidence from multiple break cointegration test","2019","Resources Policy","64","","101512","","","31","10.1016/j.resourpol.2019.101512","https://www.scopus.com/pages/publications/85073997136?origin=resultslist","This study investigates the asymmetric nexus between financial deepening and natural resources by incorporating the real gross domestic product, capital, education and natural resources using quarterly data from 1990Q1 to 2016Q4. This study applies the Carrion-i-Silvestre et al. (2009) five structural break test in addition to the conventional unit root test. Furthermore, the Maki (2012) cointegration technique is applied to determine the long-run relationship up to 5 structural breaks. In addition, the NARDL cointegration is further applied to determine the asymmetric long-run relationship among the variables. Moreover, the long-run results confirm a positive and insignificant impact of natural resources on financial deepening in both long-run positive and negative effects. Additionally, education has a positive and significant impact on financial deepening in a long-run positive effect, while capital has a negative and significant impact on financial deepening in the long-run negative effect. Moreover, the existence of an asymmetric relationship has been confirmed in a long-run asymmetry in all variables, in addition to the short-run asymmetry except natural resources. Finally, the asymmetric causality suggests the evidence of a bidirectional causality between the positive shock of financial development and the positive shock of natural resources. This suggests that significant investment in the banking sector for Turkey can leverage the natural resource sector. © 2019 Elsevier Ltd","Asymmetric causality; Asymmetric cointegration; Financial deepening; Maki cointegration; Quasi GLS-based unit root test","Turkey; Economics; Finance; Asymmetric causality; Co-integration tests; Cointegration; Financial deepening; Financial development; Gross domestic products; Positive and negative effect; Unit root tests; banking; capital flow; capital market; cointegration analysis; economic development; financial system; Gross Domestic Product; natural resource; Natural resources","Article","Final","","Scopus","2-s2.0-85073997136"
"Ergün-Tatar H.","Ergün-Tatar, Havanur (58065852400)","58065852400","Analysis of Financial Development Shocks at Different Time Scales with Wavelet Transform (Wavelet): The Case of MERCOSUR Countries; [Finansal Gelişme Şoklarının Dalgacık Dönüşümü (Wavelet) ile Farklı Zaman Ölçeklerinde Analizi: MERCOSUR Ülkeleri Örneği]","2023","Sosyoekonomi","31","58","","313","332","0","10.17233/sosyoekonomi.2023.04.16","https://www.scopus.com/pages/publications/85191951138?origin=resultslist","The primary purpose of this study is to analyse financial development shocks in the MERCOSUR country group with annual data for the period 1980-2020. In the analysis, the financial development index (FD), the financial institutions index (FI) constituting it and financial markets indices (FM) are used to represent financial development. The wavelet transforms method tests whether the shocks are permanent in the short, medium and long term. In this respect, the study makes an important contribution to the literature. In conclusion, it is determined that the shocks encountered by all the variables examined in the medium term are temporary. © 2023, Sosyoekonomi Society. All rights reserved.","Financial Development; MERCOSUR Countries; Wavelet Method","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85191951138"
"Maryaningsih N.; Juhro S.M.","Maryaningsih, Novi (57841410200); Juhro, Solikin M. (56317721900)","57841410200; 56317721900","Macroeconomics implication of central bank digital currency: case of Indonesia","2025","International Journal of Islamic and Middle Eastern Finance and Management","","","","","","1","10.1108/IMEFM-02-2025-0143","https://www.scopus.com/pages/publications/105014965933?origin=resultslist","Purpose The paper aims to examine the implications of central bank digital currency (CBDC) for the Indonesian macroeconomics. It proposed simulation modeling and outlining feasibility of CBDC for the financial inclusion tool. The purpose of the study is to determine how CBDC affects the Indonesia’s macroeconomics variables. Design/methodology/approach The paper uses Dynamic Stochastic General Equilibrium (DSGE) that include both financially included and financially excluded household to see the impact of CBDC on the monetary and fiscal policy implications, using case study of Indonesia. Descriptive analysis of the present state of financial inclusion in Indonesia was included to the data. Findings Empirical results suggest that CBDC has potential as a financial inclusion tool. The CBDC interest rate hike reduced output and inflation. Consequently, monetary policy in the post-CBDC period is more effective than the pre-CBDC period, due the financially excluded households are more responsive to monetary policy. CBDC also lessens the vulnerability of financially excluded households to economic shocks caused by increases in labor income tax, consumption tax and productivity. However, after the CBDC, government expenditures became increasingly ineffective. Research limitations/implications This study excludes the financial sector block. Instead, the model assumes that the CBDC interest rate is lower than the deposit rate. Therefore, the deposit should not be displaced as a source of commercial banking credit. This research might be expanded by incorporating the financial industry and looking into the impact of CBDC on the financial sector intermediation process. Practical implications This study contributes to the CBDC literature discussing the debate on the impact of introducing a CBDC on macroeconomic variables by developing and estimating a closed economy DSGE model. The paper also examine the impact of CBDC on heterogeneous households, both financially included and excluded households. Research involving financially excluded households is essential to see whether the motivation of emerging countries to use CBDC as a means of financial inclusion can help people who do not have access to formal financial institutions to perform consumption smoothing when a shock occurs in the economy. Originality/value This paper addresses recognized research need to study how CBDC could enhance financial inclusion. © 2025 Emerald Publishing Limited","Central bank digital currency; E12; E42; E58; E60; Financial development; Financial inclusion; Keynesian; Macroeconomics; Monetary; O33; Technology adoption","","Article","Article in press","","Scopus","2-s2.0-105014965933"
"Khanday I.N.; Tarique M.","Khanday, Ishfaq Nazir (58345005600); Tarique, Md. (57215722612)","58345005600; 57215722612","Does income inequality respond asymmetrically to financial development? Evidence from India using asymmetric cointegration and causality tests","2023","Journal of Economic Asymmetries","28","","e00341","","","8","10.1016/j.jeca.2023.e00341","https://www.scopus.com/pages/publications/85175550183?origin=resultslist","Using NARDL model and Hatemi-j-asymmetric causality test, this work scrutinizes the asymmetric interactions between income inequality and financial development in India. The empirical findings support the existence of asymmetric structures in the finance-inequality nexus. It is found that negative shocks in financial development ameliorate income inequality while as, positive shocks in financial development exacerbate income inequality in an asymmetric manner. Wald's test and asymmetric cumulative dynamic multipliers used in the study also lend credence to the presence of asymmetric structures in the finance-inequality relationship demonstrating the robustness of our estimates. Furthermore, asymmetric causality tests reveal a unidirectional asymmetric causality between positive shocks in financial development and income inequality. The study divulges need to account for asymmetry in finance–inequality which previous studies neglected. National strategies for financial education, financial inclusion for unbanked segments of the population by expanding financial services network to hitherto unbanked areas, tailoring of financial products and services as per the specific needs of people, reducing interest rates on loans to businesses that qualify as small and medium enterprises must be among the top priorities of policy makers. © 2023 Elsevier B.V.","Asymmetric causality; Financial development; Income inequality; India; NARDL","","Article","Final","","Scopus","2-s2.0-85175550183"
