h,bin,share,b,se,p
6,S <= -1.5  (severe cold),6.818937061078004,0.23248236198854666,0.10375039960062973,0.025039990786246857
6,-1.5 < S <= -0.5  (mild cold),13.276767318726602,-0.12137179369955324,0.0897791787501164,0.1764097239332223
6,0.5 < S <= 1.5  (mild heat),13.68218170539888,0.1210121284120129,0.0898387486267863,0.1779826202248207
6,S > 1.5  (severe heat),6.759121823700126,0.3295258398229834,0.10720835996586295,0.002114252001291339
9,S <= -1.5  (severe cold),6.818937061078004,0.20286590051811282,0.13785531142407412,0.14113279817841562
9,-1.5 < S <= -0.5  (mild cold),13.276767318726602,-0.11805211008610171,0.09947362858171942,0.23531918064845936
9,0.5 < S <= 1.5  (mild heat),13.68218170539888,0.0008396022138310873,0.08737235434006309,0.9923328684597317
9,S > 1.5  (severe heat),6.759121823700126,0.2217364301197819,0.13853584220537382,0.10947200385548306
12,S <= -1.5  (severe cold),6.818937061078004,0.1838663713039165,0.184425533565701,0.3187800007794457
12,-1.5 < S <= -0.5  (mild cold),13.276767318726602,-0.07867462018528001,0.12020748146694044,0.5127960303065038
12,0.5 < S <= 1.5  (mild heat),13.68218170539888,-0.03333681529447492,0.09948359471252842,0.737550693871416
12,S > 1.5  (severe heat),6.759121823700126,0.19890698512665486,0.1544185060962765,0.19771001162954205
