h,main,main_se,inter,inter_se,inter_p,n,eff_p10,eff_p25,eff_p50,eff_p75,eff_p90
3,0.13793241740884324,0.029669735195924127,0.004939801701979419,0.0511790488472154,0.9231075918190215,16954,0.131314460390902,0.1347798187431995,0.13849378353055802,0.14149707336198739,0.14413017243724782
6,0.16070326891800904,0.04289137844292692,-0.02798165034574693,0.07669106424453359,0.7152144673939476,16808,0.1981908788366441,0.17856125570868592,0.1575233942020914,0.14051117164337634,0.12559590538478876
9,0.15925719164361302,0.054086049546982824,-0.1276882029857176,0.09060125388491723,0.15873390015187017,16655,0.33032378298452125,0.240748247891866,0.14474652185901413,0.06711492756509188,-0.0009476606697020884
12,0.16736169993395933,0.060487251502471966,-0.2102252644272606,0.0975527621206773,0.031162586610559595,16497,0.44900494150526654,0.30152819650656737,0.14347140058637453,0.015659104252506578,-0.09639882494290841
18,0.08339350683713434,0.08521915527787777,-0.1759758234569049,0.10850566158011545,0.10484353039267025,16115,0.319152046571219,0.1957018907938207,0.06339536288532666,-0.04359403325860209,-0.13739572935237385
