h,lin,lin_se,lin_p,quad,quad_se,quad_p
3,0.01182231466998276,0.01936200715564241,0.5414687627031938,0.04490434396946865,0.009558062304137582,2.626451197640378e-06
6,0.03492899877132717,0.025815681057300848,0.17605089945887809,0.05688432910304709,0.01604587547662056,0.0003924552571721307
9,0.0022691214731695884,0.034601784358011034,0.947713674658901,0.05725352232172761,0.016437506872278376,0.0004956384411320958
12,-0.006182708693748139,0.04385815972747683,0.8878932113626492,0.045570109786870296,0.015100716335357442,0.002546631746380701
18,-0.08254698572740013,0.055849899199338145,0.1394037779275683,0.015679967552370673,0.01721400424292145,0.36235629752005827
