h,theta1,theta1_se,theta1_p,theta2,theta2_se,theta2_p,eff_p10,eff_p90,n,nc,n_controls
3,0.1411818084621455,0.039546329182743194,0.0003569325294372483,-0.055140059425814715,0.04402935943378941,0.2104432575735391,0.21505411453073603,0.07199996651979983,12850,85,56
6,0.21064757472310253,0.04665407309309114,6.328837179658819e-06,-0.15143384397585308,0.06633979876614064,0.022448058830152773,0.4135267044849782,0.02065009616118113,12850,85,56
9,0.21840325263768115,0.05644100261032414,0.00010902080332075847,-0.2504712572531429,0.09501118242038975,0.008383307459179923,0.5539649036381227,-0.09585217455678283,12850,85,56
12,0.26309720473957104,0.07566031716627203,0.0005064012803503992,-0.40047583210714194,0.11988859891253062,0.0008365791222870733,0.7996231633721436,-0.23936245901615577,12850,85,56
18,0.1839104610404366,0.1233657537761005,0.13602083412615262,-0.32862826455407584,0.1386942603486252,0.017814859103088,0.6241807109227385,-0.22840517468634727,12847,85,56
