h,heat,heat_se,cold,cold_se,diff,diff_se,diff_p
0,0.005843697740372909,0.014879242093856538,0.060799059202836604,0.01810769284272101,-0.054955361462463694,0.018583121316686897,0.003103732655045377
3,0.15531396764280297,0.031759910396015674,0.13143476464741763,0.04264839816432514,0.023879202995385346,0.03950579547751736,0.5455457651912425
6,0.21518481413673643,0.04809588988979836,0.14535303627676352,0.06085624190592399,0.06983177785997291,0.0533685529702398,0.19070995889313358
9,0.16116834457996618,0.054582248387630324,0.1573918107487666,0.07381774399371063,0.00377653383119958,0.07116738528576938,0.9576797091108353
12,0.12961172498314427,0.06257824173240485,0.14251185167241306,0.081194909436982,-0.012900126689268793,0.08903791288015533,0.8848028342121628
15,0.06605345164895544,0.06571621538927819,0.13659235438369066,0.08711562037091652,-0.07053890273473522,0.09643218095798779,0.4644816409729917
18,-0.0338831500112184,0.08302263621426928,0.13199028892748405,0.09983764125432498,-0.16587343893870243,0.11229316018515277,0.13963639410157347
