window,b,se,p,n
2003-2012,0.26492618647353927,0.07226679729221022,0.00024642579199984915,7116
2005-2014,0.24184160797608972,0.07378753725130016,0.0010471587681180061,8344
2007-2016,0.26873512917523884,0.06949732078979673,0.0001102540014943365,8667
2009-2018,0.22691911948063156,0.0499945778988211,5.655525626480085e-06,8742
2011-2020,0.15072666973159998,0.04665906378107986,0.0012362427458216807,8543
2013-2022,0.1458467284212984,0.04969094165866696,0.0033346517659789132,8564
2015-2024,0.10618326190601927,0.05251110271870915,0.043164918378424844,8290
